country,year,co2
Africa,1884,0.022
Africa,1885,0.037
Africa,1886,0.048
Africa,1887,0.048
Africa,1888,0.081
Africa,1889,0.132
Africa,1890,0.297
Africa,1891,0.297
Africa,1892,0.48
Africa,1893,1.799
Africa,1894,2.433
Africa,1895,3.338
Africa,1896,4.258
Africa,1897,4.778
Africa,1898,6.049
Africa,1899,5.518
Africa,1900,2.33
Africa,1901,3.909
Africa,1902,5.826
Africa,1903,7.896
Africa,1904,8.911
Africa,1905,10.263
Africa,1906,11.717
Africa,1907,12.93
Africa,1908,13.403
Africa,1909,15.385
Africa,1910,17.411
Africa,1911,16.865
Africa,1912,17.954
Africa,1913,19.606
Africa,1914,19.551
Africa,1915,19.606
Africa,1916,23.255
Africa,1917,25.344
Africa,1918,24.725
Africa,1919,25.443
Africa,1920,28.052
Africa,1921,27.986
Africa,1922,23.97
Africa,1923,29.045
Africa,1924,30.631
Africa,1925,32.185
Africa,1926,34.438
Africa,1927,33.841
Africa,1928,34.77
Africa,1929,35.802
Africa,1930,33.696
Africa,1931,29.464
Africa,1932,26.623
Africa,1933,28.491
Africa,1934,32.539
Africa,1935,35.91
Africa,1936,39.016
Africa,1937,41.844
Africa,1938,44.013
Africa,1939,46.853
Africa,1940,49.649
Africa,1941,54.023
Africa,1942,58.823
Africa,1943,60.12
Africa,1944,66.633
Africa,1945,67.527
Africa,1946,68.159
Africa,1947,67.935
Africa,1948,71.733
Africa,1949,77.324
Africa,1950,93.452
Africa,1951,99.862
Africa,1952,108.882
Africa,1953,110.796
Africa,1954,116.157
Africa,1955,128.058
Africa,1956,133.509
Africa,1957,139.953
Africa,1958,148.305
Africa,1959,147.911
Africa,1960,156.64
Africa,1961,162.079
Africa,1962,166.426
Africa,1963,176.448
Africa,1964,193.764
Africa,1965,213.785
Africa,1966,221.262
Africa,1967,237.258
Africa,1968,257.6
Africa,1969,278.139
Africa,1970,302.943
Africa,1971,332.206
Africa,1972,352.242
Africa,1973,378.427
Africa,1974,388.873
Africa,1975,387.839
Africa,1976,420.868
Africa,1977,433.857
Africa,1978,463.282
Africa,1979,500.009
Africa,1980,536.51
Africa,1981,549.389
Africa,1982,572.603
Africa,1983,595.441
Africa,1984,650.285
Africa,1985,666.684
Africa,1986,690.7
Africa,1987,690.794
Africa,1988,726.048
Africa,1989,699.221
Africa,1990,659.295
Africa,1991,689.026
Africa,1992,668.677
Africa,1993,708.858
Africa,1994,719.623
Africa,1995,771.994
Africa,1996,783.254
Africa,1997,812.904
Africa,1998,838.022
Africa,1999,830.397
Africa,2000,886.562
Africa,2001,884.168
Africa,2002,892.575
Africa,2003,967.22
Africa,2004,1036.686
Africa,2005,1057.342
Africa,2006,1090.195
Africa,2007,1132.293
Africa,2008,1181.391
Africa,2009,1191.035
Africa,2010,1218.023
Africa,2011,1258.709
Africa,2012,1253.144
Africa,2013,1260.316
Africa,2014,1363.5
Africa,2015,1322.735
Africa,2016,1356.719
Africa,2017,1384.372
Africa,2018,1385.645
Africa,2019,1408.479
Africa,2020,1326.044
Asia,1830,0.002
Asia,1831,0.003
Asia,1832,0.002
Asia,1833,0.002
Asia,1834,
Asia,1835,
Asia,1836,
Asia,1837,
Asia,1838,
Asia,1839,
Asia,1840,
Asia,1841,
Asia,1842,
Asia,1843,
Asia,1844,
Asia,1845,
Asia,1846,
Asia,1847,
Asia,1848,
Asia,1849,
Asia,1850,0.015
Asia,1851,
Asia,1852,
Asia,1853,
Asia,1854,
Asia,1855,0.045
Asia,1856,
Asia,1857,
Asia,1858,0.458
Asia,1859,0.704
Asia,1860,0.733
Asia,1861,0.611
Asia,1862,0.653
Asia,1863,0.717
Asia,1864,0.697
Asia,1865,0.832
Asia,1866,1.21
Asia,1867,0.641
Asia,1868,0.531
Asia,1869,0.752
Asia,1870,0.682
Asia,1871,0.907
Asia,1872,0.98
Asia,1873,0.937
Asia,1874,1.642
Asia,1875,2.712
Asia,1876,2.821
Asia,1877,2.903
Asia,1878,5.477
Asia,1879,5.691
Asia,1880,6.211
Asia,1881,6.372
Asia,1882,6.901
Asia,1883,7.633
Asia,1884,8.218
Asia,1885,8.567
Asia,1886,9.144
Asia,1887,10.569
Asia,1888,11.751
Asia,1889,13.819
Asia,1890,15.128
Asia,1891,17.249
Asia,1892,18.324
Asia,1893,20.47
Asia,1894,22.807
Asia,1895,26.372
Asia,1896,28.1
Asia,1897,30.567
Asia,1898,36.579
