country,year,co2_per_capita
Africa,1884,0.005
Africa,1885,0.008
Africa,1886,0.01
Africa,1887,0.01
Africa,1888,0.017
Africa,1889,0.028
Africa,1890,0.062
Africa,1891,0.062
Africa,1892,0.099
Africa,1893,0.366
Africa,1894,0.49
Africa,1895,0.664
Africa,1896,0.838
Africa,1897,0.929
Africa,1898,1.164
Africa,1899,1.048
Africa,1900,0.437
Africa,1901,0.721
Africa,1902,1.057
Africa,1903,1.169
Africa,1904,1.296
Africa,1905,1.467
Africa,1906,1.646
Africa,1907,1.785
Africa,1908,1.819
Africa,1909,2.052
Africa,1910,2.283
Africa,1911,0.892
Africa,1912,0.937
Africa,1913,1.01
Africa,1914,0.994
Africa,1915,0.466
Africa,1916,0.461
Africa,1917,0.497
Africa,1918,0.48
Africa,1919,0.511
Africa,1920,0.461
Africa,1921,0.454
Africa,1922,0.399
Africa,1923,0.477
Africa,1924,0.495
Africa,1925,0.513
Africa,1926,0.541
Africa,1927,0.492
Africa,1928,0.457
Africa,1929,0.463
Africa,1930,0.43
Africa,1931,0.37
Africa,1932,0.329
Africa,1933,0.324
Africa,1934,0.364
Africa,1935,0.396
Africa,1936,0.439
Africa,1937,0.464
Africa,1938,0.48
Africa,1939,0.499
Africa,1940,0.52
Africa,1941,0.47
Africa,1942,0.504
Africa,1943,0.507
Africa,1944,0.649
Africa,1945,0.628
Africa,1946,0.645
Africa,1947,0.609
Africa,1948,0.545
Africa,1949,0.577
Africa,1950,0.474
Africa,1951,0.496
Africa,1952,0.529
Africa,1953,0.527
Africa,1954,0.541
Africa,1955,0.583
Africa,1956,0.594
Africa,1957,0.608
Africa,1958,0.58
Africa,1959,0.54
Africa,1960,0.559
Africa,1961,0.565
Africa,1962,0.567
Africa,1963,0.586
Africa,1964,0.627
Africa,1965,0.675
Africa,1966,0.681
Africa,1967,0.712
Africa,1968,0.754
Africa,1969,0.794
Africa,1970,0.843
Africa,1971,0.9
Africa,1972,0.928
Africa,1973,0.972
Africa,1974,0.972
Africa,1975,0.944
Africa,1976,0.997
Africa,1977,0.999
Africa,1978,1.038
Africa,1979,1.089
Africa,1980,1.137
Africa,1981,1.132
Africa,1982,1.146
Africa,1983,1.159
Africa,1984,1.23
Africa,1985,1.226
Africa,1986,1.235
Africa,1987,1.201
Africa,1988,1.228
Africa,1989,1.15
Africa,1990,1.052
Africa,1991,1.069
Africa,1992,1.01
Africa,1993,1.043
Africa,1994,1.029
Africa,1995,1.077
Africa,1996,1.066
Africa,1997,1.079
Africa,1998,1.085
Africa,1999,1.049
Africa,2000,1.094
Africa,2001,1.064
Africa,2002,1.049
Africa,2003,1.109
Africa,2004,1.16
Africa,2005,1.155
Africa,2006,1.161
Africa,2007,1.176
Africa,2008,1.197
Africa,2009,1.176
Africa,2010,1.173
Africa,2011,1.181
Africa,2012,1.146
Africa,2013,1.123
Africa,2014,1.184
Africa,2015,1.119
Africa,2016,1.119
Africa,2017,1.113
Africa,2018,1.087
Africa,2019,1.077
Africa,2020,0.99
Asia,1830,0.0
Asia,1831,0.0
Asia,1832,0.0
Asia,1833,0.0
Asia,1834,
Asia,1835,
Asia,1836,
Asia,1837,
Asia,1838,
Asia,1839,
Asia,1840,
Asia,1841,
Asia,1842,
Asia,1843,
Asia,1844,
Asia,1845,
Asia,1846,
Asia,1847,
Asia,1848,
Asia,1849,
Asia,1850,0.002
Asia,1851,
Asia,1852,
Asia,1853,
Asia,1854,
Asia,1855,0.004
Asia,1856,
Asia,1857,
Asia,1858,0.002
Asia,1859,0.003
Asia,1860,0.003
Asia,1861,0.002
Asia,1862,0.002
Asia,1863,0.003
Asia,1864,0.003
Asia,1865,0.003
Asia,1866,0.004
Asia,1867,0.027
Asia,1868,0.009
Asia,1869,0.013
Asia,1870,0.012
Asia,1871,0.015
Asia,1872,0.017
Asia,1873,0.016
Asia,1874,0.027
Asia,1875,0.045
Asia,1876,0.047
Asia,1877,0.047
Asia,1878,0.017
Asia,1879,0.018
Asia,1880,0.019
Asia,1881,0.02
Asia,1882,0.021
Asia,1883,0.023
Asia,1884,0.025
Asia,1885,0.025
Asia,1886,0.027
Asia,1887,0.031
Asia,1888,0.034
Asia,1889,0.036
Asia,1890,0.039
Asia,1891,0.044
Asia,1892,0.045
Asia,1893,0.051
Asia,1894,0.056
Asia,1895,0.065
Asia,1896,0.068
Asia,1897,0.074
Asia,1898,0.088
Asia,1899,0.047
Asia,1900,0.105
Asia,1901,0.119
Asia,1902,0.063
Asia,1903,0.068
Asia,1904,0.076
Asia,1905,0.075
Asia,1906,0.101
Asia,1907,0.108
Asia,1908,0.121
Asia,1909,0.118
Asia,1910,0.115
Asia,1911,0.131
Asia,1912,0.121
Asia,1913,0.132
Asia,1914,0.139
Asia,1915,0.134
Asia,1916,0.144
Asia,1917,0.158
Asia,1918,0.158
Asia,1919,0.174
Asia,1920,0.164
Asia,1921,0.159
Asia,1922,0.168
Asia,1923,0.184
Asia,1924,0.197
Asia,1925,0.198
Asia,1926,0.199
Asia,1927,0.216
Asia,1928,0.221
Asia,1929,0.23
Asia,1930,0.228
Asia,1931,0.214
Asia,1932,0.212
Asia,1933,0.231
Asia,1934,0.26
Asia,1935,0.279
Asia,1936,0.303
Asia,1937,0.317
Asia,1938,0.325
Asia,1939,0.341
Asia,1940,0.384
Asia,1941,0.385
Asia,1942,0.362
Asia,1943,0.351
Asia,1944,0.356
Asia,1945,0.263
Asia,1946,0.239
Asia,1947,0.28
Asia,1948,0.278
Asia,1949,0.337
Asia,1950,0.341
Asia,1951,0.32
Asia,1952,0.348
Asia,1953,0.365
Asia,1954,0.393
Asia,1955,0.437
Asia,1956,0.477
Asia,1957,0.526
Asia,1958,0.696
Asia,1959,0.824
Asia,1960,0.905
Asia,1961,0.804
Asia,1962,0.759
Asia,1963,0.788
Asia,1964,0.816
Asia,1965,0.873
Asia,1966,0.928
Asia,1967,0.92
Asia,1968,0.991
Asia,1969,1.098
Asia,1970,1.261
Asia,1971,1.347
Asia,1972,1.392
Asia,1973,1.461
Asia,1974,1.455
Asia,1975,1.493
Asia,1976,1.554
Asia,1977,1.622
Asia,1978,1.662
Asia,1979,1.697
Asia,1980,1.663
Asia,1981,1.621
Asia,1982,1.645
Asia,1983,1.678
Asia,1984,1.741
Asia,1985,1.807
Asia,1986,1.847
Asia,1987,1.887
Asia,1988,2.0
Asia,1989,2.03
Asia,1990,2.055
Asia,1991,2.12
Asia,1992,2.179
Asia,1993,2.243
Asia,1994,2.305
Asia,1995,2.363
Asia,1996,2.422
Asia,1997,2.419
Asia,1998,2.312
Asia,1999,2.351
Asia,2000,2.431
Asia,2001,2.445
Asia,2002,2.549
Asia,2003,2.76
Asia,2004,2.972
Asia,2005,3.149
Asia,2006,3.321
Asia,2007,3.46
Asia,2008,3.598
Asia,2009,3.703
Asia,2010,3.928
Asia,2011,4.172
Asia,2012,4.293
Asia,2013,4.308
Asia,2014,4.334
Asia,2015,4.317
Asia,2016,4.294
Asia,2017,4.35
Asia,2018,4.442
Asia,2019,4.48
Asia,2020,4.379
Europe,1750,1.007
Europe,1751,
Europe,1752,
Europe,1753,
Europe,1754,
Europe,1755,
Europe,1756,
Europe,1757,
Europe,1758,
Europe,1759,
Europe,1760,1.02
Europe,1761,
Europe,1762,
Europe,1763,
Europe,1764,
Europe,1765,
Europe,1766,
Europe,1767,
Europe,1768,
Europe,1769,
Europe,1770,1.184
Europe,1771,
Europe,1772,
Europe,1773,
Europe,1774,
Europe,1775,
Europe,1776,
Europe,1777,
Europe,1778,
Europe,1779,
Europe,1780,1.377
Europe,1781,
Europe,1782,
Europe,1783,
Europe,1784,
Europe,1785,
Europe,1786,
Europe,1787,
Europe,1788,
Europe,1789,
Europe,1790,1.665
Europe,1791,
Europe,1792,
Europe,1793,
Europe,1794,
Europe,1795,
Europe,1796,
Europe,1797,
Europe,1798,
Europe,1799,
Europe,1800,0.737
Europe,1801,0.724
Europe,1802,0.512
Europe,1803,0.796
Europe,1804,0.491
Europe,1805,0.823
Europe,1806,0.853
Europe,1807,0.823
Europe,1808,0.83
Europe,1809,0.82
Europe,1810,0.504
Europe,1811,0.526
Europe,1812,0.537
Europe,1813,0.53
Europe,1814,0.531
Europe,1815,0.538
Europe,1816,0.579
Europe,1817,0.589
Europe,1818,0.579
Europe,1819,0.551
Europe,1820,0.55
Europe,1821,0.551
Europe,1822,0.566
Europe,1823,0.593
Europe,1824,0.607
Europe,1825,0.624
Europe,1826,0.623
Europe,1827,0.662
Europe,1828,0.661
Europe,1829,0.643
Europe,1830,0.499
Europe,1831,0.467
Europe,1832,0.465
Europe,1833,0.468
Europe,1834,0.663
Europe,1835,0.675
Europe,1836,0.778
Europe,1837,0.767
Europe,1838,0.789
Europe,1839,0.788
Europe,1840,0.834
Europe,1841,0.853
Europe,1842,0.893
Europe,1843,0.897
Europe,1844,0.942
Europe,1845,1.021
Europe,1846,1.002
Europe,1847,1.08
Europe,1848,1.11
